vpdmfId	journalTitle	nlmId	abbr	ISSN
1960	Journal of clinical laser medicine & surgery	9006547	J Clin Laser Med Surg	1044-5471
1961	The Journal of extra-corporeal technology	267637	J Extra Corpor Technol	0022-1058
1962	Bulletin biologique de la France et de la Belgique	421527	Bull Biol Fr Belg	0007-4187
1963	Journal of gynecologic surgery	9000936	J Gynecol Surg	1042-4067
1964	Canadian journal of comparative medicine and veterinary science	151757	Can J Comp Med Vet Sci	0316-5957
1965	The Journal of invasive cardiology	8917477	J Invasive Cardiol	1042-3931
1966	"Monatsschrift fur Unfallheilkunde, Versicherungs-, Versorgungs- und Verkehrsmedizin"	7505682	Monatsschr Unfallheilkd Versicher Versorg Verkehrsmed	0026-9336
1967	Nouvelle revue francaise d'hematologie	401074	Nouv Rev Fr Hematol v2	0029-4810
1968	"European journal of disorders of communication : the journal of the College of Speech and Language Therapists, London"	9208302	Eur J Disord Commun	0963-7273
1969	"Acta paediatrica (Oslo, Norway : 1992). Supplement"	9315043	Acta Paediatr Suppl	0803-5326
1970	"Internal medicine (Tokyo, Japan)"	9204241	Intern. Med.	0918-2918
1971	Zentralblatt fur Bakteriologie : international journal of medical microbiology	9203851	Zentralbl. Bakteriol.	0934-8840
1972	Naunyn-Schmiedebergs Archiv fur experimentelle Pathologie und Pharmakologie	54224	Naunyn Schmiedebergs Arch Exp Pathol Pharmakol	XXXX-XXXX
1973	Naunyn-Schmiedebergs Archiv fur Pharmakologie und experimentelle Pathologie	214725	Naunyn Schmiedebergs Arch Pharmakol Exp Pathol	0365-5423
1974	Current opinion in cardiology	8608087	Curr. Opin. Cardiol.	0268-4705
1975	Neonatal intensive care : the journal of perinatology-neonatology	9007473	Neonatal Intensive Care	1062-2454
1976	Bulletin of the American College of Surgeons	7507024	Bull Am Coll Surg	0002-8045
1977	Perfusion	8700166	Perfusion	0267-6591
1978	Bulletin of animal health and production in Africa. Bulletin des sante et production animales en Afrique	7900540	Bull Anim Health Prod Afr	0378-9721
1979	Prehospital and disaster medicine	8918173	Prehosp Disaster Med	1049-023X
1980	Seminars in arthroplasty	9100390	Semin Arthroplasty	1045-4527
1981	Seminars in ophthalmology	8610759	Semin Ophthalmol	0882-0538
1982	Current opinion in neurology and neurosurgery	8809879	Curr Opin Neurol Neurosurg	0951-7383
1983	Transfusion science	9001514	Transfus Sci	0955-3886
1984	Bulletin. Bronx County Dental Society	15740380R	Bull Bronx Cty Dent Soc	XXXX-XXXX
1985	Indian journal of biochemistry	1306642	Indian J Biochem	0019-5081
1986	The Medical journal of Malaya	361546	Med J Malaya	0025-7303
1987	"Bioscience, biotechnology, and biochemistry"	9205717	Biosci. Biotechnol. Biochem.	0916-8451
1988	Bulletin of the Calcutta School of Tropical Medicine	7503435	Bull Calcutta Sch Trop Med	0068-5372
1989	Laboratory animal care	15266	Lab Anim Care	0094-5331
1990	The Nebraska state medical journal	326157	Nebr State Med J	0028-1956
1991	Odontologisk revy. Supplement	401011	Odontol Revy Suppl	0472-5131
1992	Bulletin du cancer	72416	Bull Cancer	0007-4551
1993	Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA	9100105	Osteoporos Int	0937-941X
1994	Peptide research	8913494	Pept. Res.	1040-5704
1995	Problems in veterinary medicine	8912755	Probl Vet Med	1041-0228
1996	Pulmonary pharmacology	9007551	Pulm Pharmacol	0952-0600
1997	"Reproductive toxicology (Elmsford, N.Y.)"	8803591	Reprod. Toxicol.	0890-6238
1998	Transfusion medicine reviews	8709027	Transfus Med Rev	0887-7963
1999	Zeitschrift fur Krebsforschung	1302230	Z Krebsforsch	0301-1585
2000	Zeitschrift fur praktische Anasthesie und Wiederbelebung	332052	Z Prakt Anasth	0044-3387
2001	Naunyn-Schmiedebergs Archiv fur Pharmakologie	326263	Naunyn Schmiedebergs Arch Pharmakol	XXXX-XXXX
2002	The British journal of theatre nursing : NATNews : the official journal of the National Association of Theatre Nurses	9204117	Br J Theatre Nurs	1353-0224
2003	Modern healthcare. [Short-term care ed.]	417653	Mod Healthc (Short Term Care)	0093-7061
2004	The Clinical journal of pain	8507389	Clin J Pain	0749-8047
2005	"Behavioral medicine (Washington, D.C.)"	8804264	Behav Med	0896-4289
2006	Beitrage zur Silikose-Forschung	256173	Beitr Silikoseforsch	0376-0243
2007	Critical reviews in eukaryotic gene expression	9007261	Crit. Rev. Eukaryot. Gene Expr.	1045-4403
2008	Drugs & aging	9102074	Drugs Aging	1170-229X
2009	Glycobiology	9104124	Glycobiology	0959-6658
2010	Histology and histopathology	8609357	Histol. Histopathol.	0213-3911
2011	Journal of cardiac surgery	8908809	J Card Surg	0886-0440
2012	Journal of magnetic resonance imaging : JMRI	9105850	J Magn Reson Imaging	1053-1807
2013	Journal of spinal disorders	8904842	J Spinal Disord	0895-0385
2014	Journal of vascular and interventional radiology : JVIR	9203369	J Vasc Interv Radiol	1051-0443
2015	Mammalian genome : official journal of the International Mammalian Genome Society	9100916	Mamm. Genome	0938-8990
2016	Mathematical biosciences	103146	Math Biosci	0025-5564
2017	"Nutrition (Burbank, Los Angeles County, Calif.)"	8802712	Nutrition	0899-9007
2018	Optometry clinics : the official publication of the Prentice Society	9106715	Optom Clin	1050-6918
2019	Bulletin of the Chemical Society of Japan	7505371	Bull. Chem. Soc. Jpn.	0009-2673
2020	"Bulletin of the Chest Disease Research Institute, Kyoto University"	7505372	Bull Chest Dis Res Inst Kyoto Univ	0009-3378
2021	The Bulletin of the Cincinnati Dental Society	7502027	Bull Cincinnati Dent Soc v2	0069-4096
2022	Bulletin of clinical neurosciences	8411675	Bull Clin Neurosci	0736-3583
2023	The Bulletin of the Cleveland Dental Society	7503437	Bull Cleve Dent Soc	0009-8795
2024	Bulletin. Columbus Dental Society	9875021	Columbus Dent Soc Bull	XXXX-XXXX
2025	Bulletin of the Eleventh District Dental Society	7507027	Bull Eleventh Dist Dent Soc	0013-6166
2026	Bulletin. Dayton (Ohio) Dental Society	16510460R	Bull Dayton Dent Soc	XXXX-XXXX
2027	Bulletin of endemic diseases	401037	Bull Endem Dis (Baghdad)	0007-4845
2028	The Journal of stone disease	9204584	J Stone Dis	1059-9509
2029	Rossiiskii meditsinskii zhurnal : organ Ministerstva zdravookhraneniia RSFSR	9209559	Ross Med Zh	0869-2106
2030	Beginnings (American Holistic Nurses' Association)	9303087	Beginnings	1071-2984
2031	Journal of the American Medical Women's Association	9810653	J Am Med Womens Assoc v2	0091-7427
2032	Bulletin of the Dental Guidance Council for Cerebral Palsy	7703860	Bull Dent Guid Counc Cereb Palsy	0011-8591
2033	Gesundheitswesen (Bundesverband der Arzte des Offentlichen Gesundheitsdienstes (Germany))	9204210	Gesundheitswesen	0941-3790
2034	Psychotherapie und medizinische Psychologie	7510345	Psychother Med Psychol (Stuttg) v2	0302-8984
2035	Revista espanola de anestesiologia	135226	Rev Esp Anestesiol	0210-3591
2036	"Zeitschrift fur Immunitatsforschung, Allergie und klinische Immunologie"	1270213	Z Immunitatsforsch Allerg Klin Immunol	0044-2879
2037	Bulletin of entomological research	2984715R	Bull. Entomol. Res.	0007-4853
2038	Physician assistant. Health practitioner	8000597	Physician Assist Health Pract	0197-713X
2039	Bulletin of environmental contamination and toxicology	46021	Bull Environ Contam Toxicol	0007-4861
2040	"Bacteriologia, virusologia, parazitologia, epidemiologia (Bucharest, Romania : 1990)"	9204448	Bacteriol Virusol Parazitol Epidemiol	1220-3696
2041	Der Offentliche Gesundheitsdienst	19320430R	Offentl Gesundheitsdienst	XXXX-XXXX
2042	Bulletin of epizootic diseases of Africa. Bulletin des epizooties en Afrique	4333	Bull Epizoot Dis Afr	0007-487X
2043	"Journal francais d'oto-rhino-laryngologie, audio-phonologie et chirurgie maxillo-faciale"	320134	J Fr Otorhinolaryngol Audiophonol Chir Maxillofac v2	0021-8332
2044	Journal francais d'oto-rhino-laryngologie et chirurgie maxillo-faciale	120644	J Fr Otorhinolaryngol Chir Maxillofac	XXXX-XXXX
2045	The Bulletin - Essex County Dental Society	7608460	Bull Essex Cty Dent Soc	0014-0929
2046	JFORL. Journal francais d'oto-rhino-laryngologie; audiophonologie et chirurgie maxillo-faciale	320133	JFORL J Fr Otorhinolaryngol Audiophonol Chir Maxillofac	XXXX-XXXX
2047	Surgery today	9204360	Surg. Today	0941-1291
2048	EXS	9204529	EXS	1023-294X
2049	Newsletter (International Academy of Periodontology)	9211941	Newsl Int Acad Periodontol	0963-5742
2050	"Trends in health care, law & ethics"	9206683	Trends Health Care Law Ethics	1062-5364
2051	Intensive & critical care nursing : the official journal of the British Association of Critical Care Nurses	9211274	Intensive Crit Care Nurs	0964-3397
2052	Bulletin of experimental biology and medicine	372557	Bull. Exp. Biol. Med.	0007-4888
2053	Giornale di endodonzia	9201292	G Endodonzia	XXXX-XXXX
2054	Journal of intellectual disability research : JIDR	9206090	J Intellect Disabil Res	0964-2633
2055	"Acta paediatrica (Oslo, Norway : 1992)"	9205968	Acta Paediatr.	0803-5253
2056	Natural immunity	9206126	Nat. Immun.	1018-8916
2057	Journal of the Association for Academic Minority Physicians : the official publication of the Association for Academic Minority Physicians	9113765	J Assoc Acad Minor Phys	1048-9886
2058	Biodegradation	9100834	Biodegradation	0923-9820
2059	Bulletin de la Federation des societes de gynecologie et dobstetrique de langue francaise	7503396	Bull Fed Soc Gynecol Obstet Lang Fr	0046-3515
2060	Bioseparation	9011423	Bioseparation	0923-179X
2061	Journal of assisted reproduction and genetics	9206495	J. Assist. Reprod. Genet.	1058-0468
2062	Journal of leukocyte biology. Supplement	9207303	J Leukoc Biol Suppl	XXXX-XXXX
2063	Proceedings / the ... Annual Symposium on Computer Application [sic] in Medical Care. Symposium on Computer Applications in Medical Care	8113685	Proc Annu Symp Comput Appl Med Care	0195-4210
2064	Bulletin (American Association for the History of Nursing)	8711207	Bull Am Assoc Hist Nurs	0898-6622
2065	The Bulletin of the Fifth District Dental Society	7507028	Bull Fifth Dist Dent Soc (Fresno)	0071-9544
2066	The Journal of school nursing : the official publication of the National Association of School Nurses	9206498	J Sch Nurs	1059-8405
2067	Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft	9206148	Ophthalmologe	0941-293X
2068	Bulletin Of The Fifth District Dental Society Of The State Of New York	9878283	Bull Fifth Dist Dent Soc State N Y	XXXX-XXXX
2069	Bulletin europeen de physiopathologie respiratoire	7605263	Bull Eur Physiopathol Respir	0395-3890
2070	"Diamond (Philadelphia, Pa.)"	9807632	Diamond	XXXX-XXXX
2071	Australian critical care : official journal of the Confederation of Australian Critical Care Nurses	9207852	Aust Crit Care	1036-7314
2072	Acta medica Croatica : casopis Hravatske akademije medicinskih znanosti	9208249	Acta Med Croatica	1330-0164
2073	Annual review of biophysics and biomolecular structure	9211097	Annu Rev Biophys Biomol Struct	1056-8700
2074	Praktische Kieferorthopadie	8806628	Prakt Kieferorthop	0931-6965
2075	Professional care of mother and child	9301173	Prof Care Mother Child	0964-4156
2076	Contemporary nurse	9211867	Contemp Nurse	1037-6178
2077	Clinic odontologia : la revue de l'omnipraticien	9208273	Clin Odontol	0998-3392
2078	The Clinical investigator	9207154	Clin Investig	0941-0198
2079	Canadian journal of community mental health = Revue canadienne de sante mentale communautaire	8406631	Can J Commun Ment Health	0713-3936
2080	Medical design and material	9886071	Med Des Mater	1051-984X
2081	Rehab management	9216135	Rehab Manag	0899-6237
2082	American journal of cardiac imaging	8706659	Am J Card Imaging	0887-7971
2083	Contemporary internal medicine	9007257	Contemp Intern Med	1042-9646
2084	Contemporary pediatrics	8702030	Contemp Pediatr	8750-0507
2085	Contemporary urology	8912618	Contemp Urol	1042-2250
2086	The Journal of critical illness	8608118	J Crit Illn	1040-0257
2087	"Journal of insurance medicine (New York, N.Y.)"	8401468	J Insur Med v2	0743-6661
2088	Journal of intensive care medicine	8610344	J Intensive Care Med	0885-0666
2089	Journal of interventional cardiology	8907826	J Interv Cardiol	0896-4327
2090	Journal of neurosurgical anesthesiology	8910749	J Neurosurg Anesthesiol	0898-4921
2091	Bulletin de Groupement europeen pour la recher che scientifique en stomatologie & odontologie	431176	Bull Group Eur Rech Sci Stomatol Odontol	0303-7479
2092	LMT : Lab management today	9211328	LMT	1058-7845
2093	Healthcare information management : journal of the Healthcare Information and Management Systems Society of the American Hospital Association	8806584	Healthc Inf Manage	1066-906X
2094	Brazilian dental journal	9214652	Braz Dent J	0103-6440
2095	Antisense research and development	9110698	Antisense Res. Dev.	1050-5261
2096	Bulletin du Groupement international pour la recherche scientifique en stomatologie	431177	Bull Group Int Rech Sci Stomatol	0533-3288
2097	"Cerebral cortex (New York, N.Y. : 1991)"	9110718	Cereb. Cortex	1047-3211
2098	Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association	9208913	Emerg Nurse	1354-5752
2099	Archives of medical research	9312706	Arch. Med. Res.	0188-4409
2100	"Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine"	9208478	Biometals	0966-0844
2101	"Zhongguo Zhong xi yi jie he za zhi Zhongguo Zhongxiyi jiehe zazhi = Chinese journal of integrated traditional and Western medicine / Zhongguo Zhong xi yi jie he xue hui, Zhongguo Zhong yi yan jiu yuan zhu ban"	9211576	Zhongguo Zhong Xi Yi Jie He Za Zhi	1003-5370
2102	British journal of nursing (Mark Allen Publishing)	9212059	Br J Nurs	0966-0461
2103	Periodontal clinical investigations : official publication of the Northeastern Society of Periodontists	9209040	Periodontal Clin Investig	1065-2418
2104	Bulletin du Groupement international pour la recherche scientifique en stomatologie & odontologie	7801698	Bull Group Int Rech Sci Stomatol Odontol	0250-4693
2105	Bulletin of the history of dentistry	15840040R	Bull Hist Dent	0007-5132
2106	Bildgebung = Imaging	8904648	Bildgebung	1012-5655
2107	Biomedical chromatography : BMC	8610241	Biomed. Chromatogr.	0269-3879
2108	Bulletin of the history of medicine	141233	Bull Hist Med	0007-5140
2109	Biomedical & environmental mass spectrometry	8603224	Biomed. Environ. Mass Spectrom.	0887-6134
2110	"Population reports (Washington, D.C.). Series D, Male sterilization"	9215009	Popul Rep D v2	0891-0049
2111	Experimental and toxicologic pathology : official journal of the Gesellschaft fur Toxikologische Pathologie	9208920	Exp. Toxicol. Pathol.	0940-2993
2112	Biorheology. Supplement : the official journal of the International Society of Biorheology	8503530	Biorheology Suppl	0891-978X
2113	"Biotechnology (Reading, Mass.)"	8300602	Biotechnology	0740-7378
2114	Journal of periodontal research. Supplement	101604	J Periodontal Res Suppl	0075-4331
2115	Infusionstherapie und Transfusionsmedizin	9209406	Infusionsther Transfusionsmed	1019-8466
2116	Nursing praxis in New Zealand inc	9212162	Nurs Prax N Z	0112-7438
2117	MNA accent / Minnesota Nurses Association	9210216	MNA Accent	0026-5586
2118	"Concern (Regina, Sask.)"	9214659	Concern	0836-7310
2119	Topics in health information management	9212861	Top Health Inf Manage	1065-0989
2120	International archives of allergy and immunology	9211652	Int. Arch. Allergy Immunol.	1018-2438
2121	The Office	9876429	Office	0030-0128
2122	Clinical autonomic research : official journal of the Clinical Autonomic Research Society	9106549	Clin. Auton. Res.	0959-9851
2123	Current opinion in genetics & development	9111375	Curr. Opin. Genet. Dev.	0959-437X
2124	British journal of addiction	8804404	Br J Addict	0952-0481
2125	Current opinion in neurobiology	9111376	Curr. Opin. Neurobiol.	0959-4388
2126	Developmental immunology	9200624	Dev. Immunol.	1044-6672
2127	European journal of ophthalmology	9110772	Eur J Ophthalmol	1120-6721
2128	European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology	9111390	Eur Neuropsychopharmacol	0924-977X
2129	Gene expression	9200651	Gene Expr.	1052-2166
2130	Glycoconjugate journal	8603310	Glycoconj. J.	0282-0080
2131	Bulletin of the Hospital for Joint Diseases	7505376	Bull Hosp Joint Dis	0018-5647
2132	Bulletin of the Hospital for Joint Diseases Orthopaedic Institute	8207779	Bull Hosp Jt Dis Orthop Inst	0883-9344
2133	Journal of biomolecular NMR	9110829	J. Biomol. NMR	0925-2738
2134	Journal of exposure analysis and environmental epidemiology	9111438	J Expo Anal Environ Epidemiol	1053-4245
2135	The Journal of neuropsychiatry and clinical neurosciences	8911344	J Neuropsychiatry Clin Neurosci	0895-0172
2136	Journal of substance abuse	9001404	J Subst Abuse	0899-3289
2137	Journal of trace elements and electrolytes in health and disease	8807101	J Trace Elem Electrolytes Health Dis	0931-2838
2138	Melanoma research	9109623	Melanoma Res.	0960-8931
2139	Neuromuscular disorders : NMD	9111470	Neuromuscul. Disord.	0960-8966
2140	Neurosurgery clinics of North America	9008004	Neurosurg. Clin. N. Am.	1042-3680
2141	The Plant cell	9208688	Plant Cell	1040-4651
2142	Protein expression and purification	9101496	Protein Expr. Purif.	1046-5928
2143	Thyroid : official journal of the American Thyroid Association	9104317	Thyroid	1050-7256
2144	Social problems	20810170R	Soc Probl	0037-7791
2145	Women's health issues : official publication of the Jacobs Institute of Women's Health	9101000	Womens Health Issues	1049-3867
2146	"Bulletin. Hudson County Dental Society, Jersey City"	17440150R	Bull Hudson Cty Dent Soc	0018-7011
2147	Leadership in health services = Leadership dans les services de sante	9211318	Leadersh Health Serv	1188-3669
2148	European archives of oto-rhino-laryngology. Supplement	9212295	Eur Arch Otorhinolaryngol Suppl	0942-8992
2149	Gynakologisch-geburtshilfliche Rundschau	9212667	Gynakol Geburtshilfliche Rundsch	1018-8843
2150	Pneumoftiziologia : revista Societatii Romane de Pneumoftiziologie / [Societatea Romana de Pneumoftiziologie]	9212780	Pneumoftiziologia	0377-5011
2151	Bulletin de la Societe de pathologie exotique (1990)	9212564	Bull Soc Pathol Exot	0037-9085
2152	Bulletin of hygiene	142257	Bull Hyg (Lond)	0366-4236
2153	The bulletin of the Illinois Dental Hygienist's Association. Illinois Dental Hygienists' Association	9884600	Bull Ill Dent Hyg Assoc	XXXX-XXXX
2154	Clinical trials and meta-analysis	9212070	Clin Trials Metaanal	0927-5401
2155	Bulletin des infirmieres catholiques du Canada	1276072	Bull Infirm Cathol Can	0007-4470
2156	Sei Roka Kango Daigaku kiyo	9213446	Seiroka Kango Daigaku Kiyo	0289-2863
2157	Journal of AOAC International	9215446	J AOAC Int	1060-3271
2158	Faraday discussions	9212301	Faraday Discuss.	1359-6640
2159	Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia	7603275	Bull Inst Marit Trop Med Gdynia	0324-8542
2160	The Dental assistant journal : journal of the American Dental Assistants Association	9212282	Dent Assist J	1072-754X
2161	American journal of medical quality : the official journal of the American College of Medical Quality	9300756	Am J Med Qual	1062-8606
2162	The Birth gazette	9306676	Birth Gaz	0890-3255
2163	Polish journal of occupational medicine and environmental health	9215008	Pol J Occup Med Environ Health	0867-8383
2164	Vestnik Rossiiskoi akademii meditsinskikh nauk / Rossiiskaia akademiia meditsinskikh nauk	9215641	Vestn. Akad. Med. Nauk SSSR v2	0869-6047
2165	"Population reports (Washington, D.C.). Series C,, Female sterilization"	9213379	Popul Rep C v2	0891-0030
2166	"Health matrix (Cleveland, Ohio : 1991)"	9311154	Health Matrix Clevel	0748-383X
2167	Australian dental practice	9204105	Aust Dent Pract	1320-2340
2168	"Dental world (London, England)"	9214345	Dent World	0965-9986
2169	Children	320036	Children	0009-4064
2170	Archives of virology. Supplementum	9214275	Arch. Virol. Suppl.	0939-1983
2171	"Strategies for healthcare excellence : organizational productivity, quality and effectiveness"	9216695	Strateg Healthc Excell	1058-7829
2172	Contract design	9892140	Contract Des	1053-5632
2173	ASHA. Supplement	9214642	ASHA Suppl	1072-8929
2174	"Texas Heart Institute journal / from the Texas Heart Institute of St. Luke's Episcopal Hospital, Texas Children's Hospital"	8214622	Tex Heart Inst J	0730-2347
2175	Canadian family physician Medecin de famille canadien	120300	Can Fam Physician	0008-350X
2176	Journal of the Formosan Medical Association = Taiwan yi zhi	9214933	J. Formos. Med. Assoc.	0929-6646
2177	Blood reviews	8708558	Blood Rev.	0268-960X
2178	"Bulletin of the Institute for Medical Research, University of Madrid"	7505378	Bull Inst Med Res Univ Madr	0020-3955
2179	Bulletin of the International Union against Tuberculosis and Lung Disease	8709829	Bull. Int. Union Tuberc. Lung Dis.	1011-789X
2180	Brain research. Cognitive brain research	9214304	Brain Res Cogn Brain Res	0926-6410
2181	Bulletin de l'Institut national de la sante et de la recherche medicale	22726	Bull Inst Natl Sante Rech Med	0553-2469
2182	Acta ophthalmologica. Supplement	9216417	Acta Ophthalmol Suppl	XXXX-XXXX
2183	Diskussionsforum medizinische Ethik	9216477	Diskussionsforum Med Ethik	XXXX-XXXX
2184	"Addiction (Abingdon, England)"	9304118	Addiction	0965-2140
2185	Journal of healthcare risk management : the journal of the American Society for Healthcare Risk Management	9305245	J Healthc Risk Manag	1074-4797
2186	Bulletin of the International Union against Tuberculosis	7505385	Bull Int Union Tuberc	0074-9249
2187	British journal of biomedical science	9309208	Br. J. Biomed. Sci.	0967-4845
2188	Reflections / Sigma Theta Tau	9302919	Reflections	0885-8144
2189	Nurse practitioner forum	9100939	Nurse Pract Forum	1045-5485
2190	The Bulletin of the Michigan Dental Hygienists' Association	7505393	Bull Mich Dent Hyg Assoc	XXXX-XXXX
2191	Anesthesia & pain control in dentistry	9207842	Anesth Pain Control Dent	1055-7601
2192	The Quarterly review of economics and finance : journal of the Midwest Economics Association	9886817	Q Rev Econ Finance	1062-9769
2193	Bone and mineral	8610542	Bone Miner	0169-6009
2194	BMJ (Clinical research ed.)	8900488	BMJ	0959-8138
2195	"Bulletin (Hospital for Joint Diseases (New York, N.Y.))"	9215948	Bull Hosp Jt Dis	0018-5647
2196	Eksperimental'naia i klinicheskaia farmakologiia	9215981	Eksp Klin Farmakol	0869-2092
2197	"Undersea & hyperbaric medicine : journal of the Undersea and Hyperbaric Medical Society, Inc"	9312954	Undersea Hyperb Med	1066-2936
2198	Josai Shika Daigaku kiyo. The Bulletin of the Josai Dental University	377752	Josai Shika Daigaku Kiyo	0301-2662
2199	Abdominal imaging	9303672	Abdom Imaging	0942-8925
2200	"European journal of cancer. Part B, Oral oncology"	9214373	"Eur. J. Cancer, B, Oral Oncol."	0964-1955
2201	Current microbiology	7808448	Curr. Microbiol.	0343-8651
2202	Zoological science	8702287	Zool. Sci.	0289-0003
2203	CRNA : the clinical forum for nurse anesthetists	9109511	CRNA	1048-2687
2204	Journal of case management	9301156	J Case Manag	1061-3706
2205	"Stem cells (Dayton, Ohio)"	9304532	Stem Cells	1066-5099
2206	"Spectrum (Lexington, Ky.)"	9886962	Spectrum	1067-8530
2207	Kobe Ika Daigaku kiyo	7502599	Kobe Ika Daigaku Kiyo	XXXX-XXXX
2208	Physiological measurement	9306921	Physiol Meas	0967-3334
2209	Nursing staff development insider	9214493	Nurs Staff Dev Insid	1057-8323
2210	Doklady Akademii nauk / [Rossiiskaia akademii nauk]	9301140	Dokl. Akad. Nauk.	0869-5652
2211	"Cellular and molecular biology (Noisy-le-Grand, France)"	9216789	Cell. Mol. Biol. (Noisy-le-grand)	0145-5680
2212	Bulletin of the Los Angeles Dental Society	7509358	Bull Los Angeles Dent Soc	0076-0951
2213	Izvestiia Akademii nauk. Seriia biologicheskaia / Rossiiskaia akademiia nauk	9300152	Izv. Akad. Nauk. Ser. Biol.	1026-3470
2214	Planta	1250576	Planta	0032-0935
2215	Bio-medical materials and engineering	9104021	Biomed Mater Eng	0959-2989
2216	Biotechnology therapeutics	8918082	Biotechnol Ther	0898-2848
2217	"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology"	9200608	Cancer Epidemiol. Biomarkers Prev.	1055-9965
2218	Bulletin of the Los Angeles neurological societies	64572	Bull Los Angeles Neurol Soc	0024-659X
2219	Cytokines	8912908	Cytokines	1013-9982
2220	Ethnicity & disease	9109034	Ethn Dis	1049-510X
2221	European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP)	9300837	Eur. J. Cancer Prev.	0959-8278
2222	German journal of ophthalmology	9206441	Ger J Ophthalmol	0941-2921
2223	Growth regulation	9106990	Growth Regul.	0956-523X
2224	Leukemia & lymphoma	9007422	Leuk. Lymphoma	1042-8194
2225	Molecular genetic medicine	9114827	Mol. Genet. Med.	1057-2805
2226	Bulletin of the Massachusetts Nurses Association	7803470	Bull Mass Nurses Assoc	0025-4843
2227	The National medical journal of India	8809315	Natl Med J India	0970-258X
2228	Neurochemistry international	8006959	Neurochem. Int.	0197-0186
2229	PCR methods and applications	9201445	PCR Methods Appl.	1054-9803
2230	Protein science : a publication of the Protein Society	9211750	Protein Sci.	0961-8368
2231	Receptor	9109671	Receptor	1052-8040
2232	Nursing quality connection	9209917	Nurs Qual Connect	1055-6818
2233	Clinical nursing research	9208508	Clin Nurs Res	1054-7738
2234	Vigilando	9307041	Vigilando	XXXX-XXXX
2235	Journal of orofacial pain	9418507	J Orofac Pain	1064-6655
2236	Canada communicable disease report = Releve des maladies transmissibles au Canada	9303729	Can. Commun. Dis. Rep.	1188-4169
2237	Central European journal of public health	9417324	Cent. Eur. J. Public Health	1210-7778
2238	Pharmacy world & science : PWS	9307352	Pharm World Sci	0928-1231
2239	Biology of the cell / under the auspices of the European Cell Biology Organization	8108529	Biol. Cell	0248-4900
2240	Biochemistry and molecular biology international	9306673	Biochem. Mol. Biol. Int.	1039-9712
2241	Bulletin of mathematical biology	401404	Bull. Math. Biol.	0092-8240
2242	Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas / Sociedade Brasileira de Biofisica ... [et al.]	8112917	Braz. J. Med. Biol. Res.	0100-879X
2243	The Bulletin of mathematical biophysics	402113	Bull Math Biophys	0007-4985
2244	British journal of audiology	357321	Br J Audiol	0300-5364
2245	Journal of health care interior design : proceedings from the ... Annual National Symposium on Health Care Interior Design. National Symposium on Health Care Interior Design (U.S.)	9318047	J Health Care Inter Des v2	1068-1132
2246	British journal of audiology. Supplement	7801697	Br J Audiol Suppl	0143-764X
2247	The British journal of clinical psychology / the British Psychological Society	8105533	Br J Clin Psychol	0144-6657
2248	Journal of healthcare design : proceedings from the ... Symposium on Healthcare Design. Symposium on Healthcare Design	9318490	J Healthc Des	1068-1124
2249	Pneumonologia i alergologia polska	9302892	Pneumonol Alergol Pol	0867-7077
2250	Bone marrow transplantation	8702459	Bone Marrow Transplant.	0268-3369
2251	Nuclear medicine and biology	9304420	Nucl. Med. Biol.	0969-8051
2252	Health care reform week	9304299	Health Care Reform Week	1067-2214
2253	Romanian journal of internal medicine = Revue roumaine de medecine interne	9304507	Rom J Intern Med	1220-4749
2254	Canadian journal of applied physiology = Revue canadienne de physiologie appliquee	9306274	Can J Appl Physiol	1066-7814
2255	Bulletin of the Medical Library Association	421037	Bull Med Libr Assoc	0025-7338
2256	Bulletin et memoires de l'Academie royale de medecine de Belgique	7608462	Bull. Mem. Acad. R. Med. Belg.	0377-8231
2257	"AWHONN voice / Association of Women's Health, Obstetric, and Neonatal Nurses (AWHONN)"	9306666	AWHONN Voice	1066-2944
2258	Bulletin et memoires de la Societe des chirurgiens de Paris	7507020	Bull Mem Soc Chir Paris	0037-9220
2259	"Clinical and experimental hypertension (New York, N.Y. : 1993)"	9305929	Clin. Exp. Hypertens.	1064-1963
2260	FEMS immunology and medical microbiology	9315554	FEMS Immunol. Med. Microbiol.	0928-8244
2261	Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting	9208439	Abstr. Gen. Meet. Am. Soc. Microbiol.	1060-2011
2262	Bulletins et memoires de la Societe francaise d'ophtalmologie	7503471	Bull Mem Soc Fr Ophtalmol	0081-1092
2263	Aviakosmicheskaia i ekologicheskaia meditsina = Aerospace and environmental medicine	9305904	Aviakosm Ekolog Med	0233-528X
2264	MainLines : the newsletter for the Midwest Alliance in Nursing	9310753	Mainlines	0278-9450
