bmkegId	journalTitle	nlmId	abbr	ISSN
4056	Hepato-gastroenterology.	8007849	Hepatogastroenterology	0172-6390
4057	Holistic Assertive Nurse.	9879074	Holistic Assertive Nurse	\N
4058	[Hokkaido igaku zasshi] The Hokkaido journal of medical science.	17410290R	Hokkaido Igaku Zasshi	0367-6102
4059	Xianggang hu li za zhi. The Hong Kong nursing journal.	61242	Xianggang Hu Li Za Zhi	0073-3253
4060	Health planning & manpower report.	7806574	Health Plann Manpow Rep	\N
4061	The Health care supervisor.	8301065	Health Care Superv	0731-3381
4062	Health care strategic management.	8405900	Health Care Strateg Manage	0742-1478
4063	Health cost management.	8604149	Health Cost Manage	0740-2406
4064	Health affairs (Project Hope)	8303128	Health Aff (Millwood)	0278-2715
4065	Health & medicine	8307267	Health Med	0741-2339
4066	Health care marketer & target market.	8612805	Health Care Mark Target Market	0884-6596
4067	Health care marketer.	8707757	Health Care Mark	0896-1204
4068	Gamete research.	7806559	Gamete Res	0148-7280
4069	Health services manager.	7607516	Health Serv Manager	0363-020X
4070	Health and social service journal.	361025	Health Soc Serv J	0300-8347
4071	Death studies.	8506890	Death Stud	0748-1187
4072	Gene analysis techniques.	8408118	Gene Anal Tech	0735-0651
4073	"Health care law newsletter / Weissburg and Aronson, Inc."	8701070	Health Care Law Newsl	0893-6099
4074	Hematological oncology.	8307268	Hematol Oncol	0278-0232
4075	Hoppe-Seyler's Zeitschrift fur physiologische Chemie.	2985060R	Hoppe Seylers Z Physiol Chem	0018-4888
4076	Histopathology.	7704136	Histopathology	0309-0167
4077	Horizons in biochemistry and biophysics.	7502793	Horiz Biochem Biophys	0096-2708
4078	Hospital purchasing management.	7804118	Hosp Purch Manage	0163-1322
4079	Hormones and behavior.	217764	Horm Behav	0018-506X
4080	Health care newsletter / National Safety Council.	9877954	Health Care Newsl	\N
4081	Journal of healthcare protection management	8506548	J Healthc Prot Manage	0891-7930
4082	Health care education.	7801070	Health Care Educ	0160-7006
4083	Health law in Canada.	8101300	Health Law Can	0226-8841
4084	Healthcare financial management	8215859	Healthc Financ Manage	0735-0732
4085	Hormone and metabolic research. Hormon- und Stoffwechselforschung. Hormones et metabolisme.	177722	Horm Metab Res	0018-5043
4086	Harvard business review.	9875796	Harv Bus Rev	0017-8012
4087	The Hillside journal of clinical psychiatry.	7905001	Hillside J Clin Psychiatry	0193-5216
4088	Healthcare computing & communications.	8503108	Healthc Comput Commun	8750-149X
4089	Hormone research.	366126	Horm Res	0301-0163
4090	Hormone and metabolic research. Supplement series.	330417	Horm Metab Res Suppl	0170-5903
4091	Health manpower report.	7801226	Health Manpow Rep	0161-6781
4092	Health services manpower review.	8103581	Health Serv Manpow Rev	0306-0233
4093	"Hepatology (Baltimore, Md.)"	8302946	Hepatology	0270-9139
4094	Hormones.	366127	Hormones	0018-5051
4095	The Hospital and health services review.	332235	Hosp Health Serv Rev	0308-0234
4096	Hospital employee health.	8510434	Hosp Employee Health	0744-6470
4097	Hospital administration in Canada.	373014	Hosp Adm Can	0018-554X
4098	Hospital management quarterly	8502526	Hosp Manage Q	0891-9941
4099	Home health journal.	8612812	Home Health J	0734-7588
4100	The Hospice journal.	8505218	Hosp J	0742-969X
4101	Hospital administration currents.	262165	Hosp Admin Curr	0046-7952
4102	Hospital & community psychiatry.	40250	Hosp Community Psychiatry	0022-1597
4103	Hospital administration.	37362	Hosp Adm (New Delhi)	0018-5531
4104	Hospital admitting monthly.	8302821	Hosp Admitting Mon	0745-1466
4105	Hospital equipment & supplies.	152562	Hosp Equip Supplies	0018-5620
4106	Hospital security and safety management.	8708292	Hosp Secur Saf Manage	0745-1148
4107	Hospital management.	373016	Hosp Manage	0018-5744
4108	Hospital libraries.	7700322	Hosp Libr	0145-8930
4109	Hospital peer review.	7706036	Hosp Peer Rev	0149-2632
4110	Hospital progress.	374656	Hosp Prog	0018-5817
4111	Hospital practice.	74404	Hosp Pract	0018-5809
4112	Hospital materiel management quarterly.	7909330	Hosp Mater Manage Q	0192-2262
4113	Hospital physician.	7600530	Hosp Physician	0888-2428
4114	Hospital topics.	411772	Hosp Top	0018-5868
4115	Hospital development.	361026	Hosp Dev	0300-5720
4116	Hospital.	9427238	Hospital (Rio J)	0018-5469
4117	Hospital bond review.	9892141	Hosp Bond Rev	\N
4118	Hospital forum.	376561	Hosp Forum	0018-5663
4119	Hospital food & nutrition focus.	8703500	Hosp Food Nutr Focus	0747-7376
4120	Hospitals.	374657	Hospitals	0018-5973
4121	Hospital infection control.	7507137	Hosp Infect Control	0098-180X
4122	The Hospital manager / American Hospital Association.	8400614	Hosp Manager	0740-9982
4123	HSMHA health reports.	323220	HSMHA Health Rep	0083-1204
4124	Hospital engineering.	7805786	Hosp Eng	\N
4125	Human biology; an international record of research.	116717	Hum Biol	0018-7143
4126	Home health review.	7909326	Home Health Rev	0193-2683
4127	Human biology in Oceania.	347221	Hum Biol Oceania	0046-8142
4128	Human development.	12445	Hum Dev	0018-716X
4129	IARC monographs on the evaluation of carcinogenic risk of chemicals to man.	402626	IARC Monogr Eval Carcinog Risk Chem Man	0301-3944
4130	IARC monographs on the evaluation of the carcinogenic risk of chemicals to humans.	7902489	IARC Monogr Eval Carcinog Risk Chem Hum	0250-9555
4131	Human factors.	374660	Hum Factors	0018-7208
4132	Human physiology.	7605014	Hum Physiol	0362-1197
4133	Human heredity.	200525	Hum Hered	0001-5652
4134	Hospital management communications.	8202040	Hosp Manage Commun	0274-5429
4135	"Hua xi yi ke da xue xue bao = Journal of West China University of Medical Sciences = Huaxi yike daxue xuebao / [bian ji zhe, Hua xi yi ke da xue xue bao bian wei hui]."	8609552	Hua Xi Yi Ke Da Xue Xue Bao	0257-7712
4136	Human pathology.	9421547	Hum Pathol	0046-8177
4137	Human genetics.	7613873	Hum Genet	0340-6717
4138	Humangenetik.	7607154	Humangenetik	0018-7348
4139	Gene amplification and analysis.	8101596	Gene Amplif Anal	0275-2778
4140	Health practitioner. Physician assistant.	7904275	Health Pract Physician Assist	0192-7310
4141	Genitourinary medicine.	8503853	Genitourin Med	0266-4348
4142	Genomics.	8800135	Genomics	0888-7543
4143	Gerontion.	8608449	Gerontion	0829-8297
4144	L'Hygiene mentale.	374661	Hyg Ment	0073-4241
4145	Hospital administration.	9427237	Hosp Adm (Chic)	0018-5523
4146	Hygie.	8304186	Hygie	0751-7149
4147	"Geriatric nursing (London, England)"	8510067	Geriatr Nurs (Lond)	0950-0448
4148	Gerodontology.	8215850	Gerodontology	0734-0664
4149	Human organization.	412703	Hum Organ	0018-7259
4150	Human resource management.	9877746	Hum Resour Manage	0090-4848
4151	Human toxicology.	8206759	Hum Toxicol	0144-5952
4152	Hybridoma.	8202424	Hybridoma	0272-457X
4155	I.D.A.A. communique.	7601701	IDAA Commun	0360-7224
4156	Concern in care of the aging.	7810233	Concern Care Aging	0190-9754
4157	IEEE transactions on bio-medical engineering.	12737	IEEE Trans Biomed Eng	0018-9294
4158	Icd Scientific And Educational Journal.	9877655	ICD Sci Educ J	\N
4159	Image--the journal of nursing scholarship.	8400753	Image J Nurs Sch	0743-5150
4160	L'igiene moderna.	9427236	Ig Mod	0019-1655
4161	Immunological reviews.	7702118	Immunol Rev	0105-2896
4162	Impact of science on society.	17530130R	Impact Sci Soc	0019-2872
4163	Implantologist.	7806013	Implantologist	0190-2024
4164	Important advances in oncology.	8505229	Important Adv Oncol	0883-5896
4165	IADS newsletter.	351477	IADS Newsl	0301-5831
4166	"IEEE transactions on systems, man, and cybernetics."	1274320	IEEE Trans Syst Man Cybern	0018-9472
4167	Illinois dental journal.	374667	Ill Dent J	0019-1973
4168	Innovations.	7503029	Innovations	0095-4519
4170	Image.	435746	Image (IN)	0363-2792
4171	Images; Marquette University dental reflections.	253702	Images Marquette Univ Dent Reflections	\N
4172	Immunitat und Infektion.	7505519	Immun Infekt	0340-1162
4173	Immunochemistry.	10301	Immunochemistry	0019-2791
4174	Immunobiology.	8002742	Immunobiology	0171-2985
4175	Immunological communications.	353016	Immunol Commun	0090-0877
4176	Grants magazine.	7807279	Grants Mag	0160-9734
4177	Health care security and safety management.	8708284	Health Care Secur Saf Manage	0279-3466
4178	Immunology.	374672	Immunology	0019-2805
4179	Immunology and cell biology.	8706300	Immunol Cell Biol	0818-9641
4180	Imprint.	163356	Imprint	0019-3062
4181	In vitro.	63733	In Vitro	0073-5655
4182	Industrial medicine & surgery.	414125	Ind Med Surg	0019-8536
4183	Indent; Journal Of International Dentistry; English Edition.	9875623	Indent [Engl]	\N
4184	Special report series - Indian Council of Medical Research.	7506056	Spec Rep Ser Indian Counc Med Res	0073-6325
4185	In vitro. Monograph.	7607749	In Vitro Monogr	0363-521X
4186	Hawaii nurses pipeline.	7701836	Hawaii Nurses Pipeline	0146-2784
4188	Indian heart journal.	374675	Indian Heart J	0019-4832
4189	Indian heart journal	7703235	Indian Heart J Teach Ser	0378-6315
4190	Health & medical care services review.	7806285	Health Med Care Serv Rev	0160-7618
4191	Health marketing quarterly.	8306485	Health Mark Q	0735-9683
4192	Higashi Nihon shigaku zasshi.	8703497	Higashi Nippon Shigaku Zasshi	0910-9722
4193	Indian journal of biochemistry & biophysics.	310774	Indian J Biochem Biophys	0301-1208
4194	Health care financing review.	7909994	Health Care Financ Rev	0195-8631
4195	Indian journal of cancer.	112040	Indian J Cancer	0019-509X
4196	The Indian journal of chest diseases.	7612045	Indian J Chest Dis	0019-5111
4197	The Indian journal of chest diseases & allied sciences.	7612044	Indian J Chest Dis Allied Sci	0377-9343
4198	Immunogenetics.	420404	Immunogenetics	0093-7711
4199	Immunological investigations.	8504629	Immunol Invest	0882-0139
4200	Giornale italiano di dermatologia e venereologia	8102852	G Ital Dermatol Venereol	0026-4741
4201	Health law vigil.	8004176	Health Law Vigil	0270-3343
4203	Immunology letters.	7910006	Immunol Lett	0165-2478
4204	Immunology. Supplement.	8807494	Immunol Suppl	0953-4954
4205	Indian journal of dermatology.	370750	Indian J Dermatol	0019-5154
4206	Giornale italiano di oncologia.	8508370	G Ital Oncol	0392-128X
4207	Indian journal of experimental biology.	233411	Indian J Exp Biol	0019-5189
4208	Home health care services quarterly.	8000128	Home Health Care Serv Q	0162-1424
4209	Indian journal of gastroenterology	8409436	Indian J Gastroenterol	0254-8860
4210	The Indian journal of medical research.	374701	Indian J Med Res	0971-5916
4211	Indian journal of medical sciences.	373023	Indian J Med Sci	0019-5359
4212	The International journal of oral & maxillofacial implants.	8611905	Int J Oral Maxillofac Implants	0882-2786
4213	Journal (American Medical Record Association)	8406720	J Am Med Rec Assoc	0273-9976
4215	Indian journal of ophthalmology.	405376	Indian J Ophthalmol	0301-4738
4216	Indicator (Minnesota Mining and Manfuacturing Company)	8507466	Indicator	0898-5308
4217	Hypertension.	7906255	Hypertension	0194-911X
4218	Indian journal of pathology & bacteriology.	7605903	Indian J Pathol Bacteriol	0019-5448
4219	Indian journal of pathology & microbiology.	7605904	Indian J Pathol Microbiol	0377-4929
4220	Health care.	8000123	Health Care (Don Mills)	0226-5788
4221	Indian journal of pediatrics.	417442	Indian J Pediatr	0019-5456
4222	IARC scientific publications.	8009542	IARC Sci Publ	0300-5038
4223	Canadian journal of otolaryngology. Journal canadien d'otolaryngologie. Supplement.	7708917	Can J Otolaryngol Suppl	0707-7289
4224	Indian journal of physiology and pharmacology.	374707	Indian J Physiol Pharmacol	0019-5499
4225	Health communications and informatics.	7904272	Health Commun Informatics	0378-9845
4226	Glia.	8806785	Glia	0894-1491
4227	Indian journal of public health.	400673	Indian J Public Health	0019-557X
4228	Indian medical journal.	9705769	Indian Med J	0019-5871
4229	Inflammation.	7600105	Inflammation	0360-3997
4230	Indian pediatrics.	2985062R	Indian Pediatr	0019-6061
4231	The Indian practitioner.	370753	Indian Pract	0019-6169
4232	Hansenologia internationalis.	7704131	Hansenol Int	0100-3283
4233	The Indian veterinary journal.	374710	Indian Vet J	0019-6479
4234	The Indiana nurse.	17540290R	Indiana Nurse	0019-6681
4235	Impressions.	9878816	Impressions (Orange)	\N
4236	L' Information dentaire.	370756	Inf Dent	0020-0018
4238	Infection control digest.	8011626	Infect Control Dig	0275-0236
4239	Infection control & urological care.	7903304	Infect Control Urol Care	0740-3615
4240	Gastroenterology clinics of North America.	8706257	Gastroenterol Clin North Am	0889-8553
4241	Informatore Odonto-Stomatologico.	9875610	Inf Odontostomatol	0020-0751
4242	Informationen aus Orthodontie und Kieferorthopadie	1300712	Inf Orthod Kieferorthop	0020-0336
4243	L'Information psychiatrique.	9705768	Inf Psychiatr	0020-0204
4244	"Inforum (Adelaide, S. Aust.)"	8807312	Inforum	0812-9304
4245	Infection and immunity.	246127	Infect Immun	0019-9567
4246	Infection.	365307	Infection	0300-8126
4247	L' Infirmiere canadienne.	42116	Infirm Can	0019-9605
4248	L'Infirmiere francaise.	400674	Infirm Fr	0019-9613
4249	L' Infirmiere haitienne.	174016	Infirm Haiti	\N
4250	Infusionstherapie und klinische Ernahrung.	7613112	Infusionsther Klin Ernahr	0378-0791
4251	Inhaled particles.	320346	Inhaled Part	0301-1577
4253	L' Infirmiere.	366542	Infirmiere	0019-9591
4254	L'Infirmiere auxiliaire	8410629	Infirm Aux	0822-8558
4255	Injury.	226040	Injury	0020-1383
4256	Infusionstherapie und klinische Ernahrung. Sonderheft.	7705430	Infusionsther Klin Ernahr Sonderh	0379-4938
4257	Inquiry	171671	Inquiry	0046-9580
4258	"Interiors (New York, N.Y."	9878226	Interiors	0164-8470
4259	International endodontic journal.	8004996	Int Endod J	0143-2885
4260	International anesthesiology clinics.	370760	Int Anesthesiol Clin	0020-5907
4261	International archives of allergy and applied immunology.	404561	Int Arch Allergy Appl Immunol	0020-5915
4262	"Infusionstherapie (Basel, Switzerland)"	9001943	Infusionstherapie	1011-6966
4263	Interferon.	8003803	Interferon	0276-1076
4264	International advances in surgical oncology.	7806861	Int Adv Surg Oncol	0190-1575
4265	In practice.	8106445	In Pract	0263-841X
4266	Internationales Archiv fur Arbeitsmedizin.	7512135	Int Arch Arbeitsmed	0020-5923
4267	Intensivmedizinische Praxis.	8009540	Intensivmed Prax	0173-2315
4268	International archives of occupational and environmental health.	7512134	Int Arch Occup Environ Health	0340-0131
4269	Industry and health care.	7902844	Ind Health Care	0887-1086
4270	International dental journal.	374714	Int Dent J	0020-6539
4271	"International journal of clinical pharmacology, therapy, and toxicology."	8003415	Int J Clin Pharmacol Ther Toxicol	0174-4879
4272	Newsletter - American Academy of Health Administration. American Academy of Health Administration.	7906915	Newsl Am Acad Health Adm	0196-450X
4273	The International journal of the addictions.	123640	Int J Addict	0020-773X
4274	International family planning digest.	7610494	Int Fam Plann Dig	0362-4056
4275	International journal of aging & human development.	370033	Int J Aging Hum Dev	0091-4150
4276	International journal of andrology.	8000141	Int J Androl	0105-6263
4277	The International journal of applied radiation and isotopes.	374715	Int J Appl Radiat Isot	0020-708X
4278	The International journal of artificial organs.	7802649	Int J Artif Organs	0391-3988
4279	International journal of biological research in pregnancy.	8011123	Int J Biol Res Pregnancy	0173-8593
4280	International journal of bio-medical computing.	252005	Int J Biomed Comput	0020-7101
4282	International journal of biometeorology.	374716	Int J Biometeorol	0020-7128
4283	IARC monographs on the evaluation of the carcinogenic risk of chemicals to humans. Supplement.	8002508	IARC Monogr Eval Carcinog Risk Chem Hum Suppl	1014-4307
4284	International journal of cancer. Journal international du cancer.	42124	Int J Cancer	0020-7136
4285	International journal of chronobiology.	367714	Int J Chronobiol	0300-9998
4286	International journal of cardiology.	8200291	Int J Cardiol	0167-5273
4287	The International journal of clinical and experimental hypnosis.	376166	Int J Clin Exp Hypn	0020-7144
4288	AMHC forum.	8411239	AMHC Forum	0883-0401
4289	"International journal of clinical pharmacology, therapy and toxicology."	7505528	Int J Clin Pharmacol	0300-9718
4290	International journal of clinical pharmacology and biopharmacy.	7505527	Int J Clin Pharmacol Biopharm	0340-0026
4291	International journal of dermatology.	243704	Int J Dermatol	0011-9059
4292	International journal of environmental analytical chemistry.	331757	Int J Environ Anal Chem	0306-7319
4293	International journal of equilibrium research.	7501152	Int J Equilib Res	0303-7223
4294	International journal of epidemiology.	7802871	Int J Epidemiol	0300-5771
4295	International journal of fertility.	374717	Int J Fertil	0020-725X
4296	International journal of gynecological pathology	8214845	Int J Gynecol Pathol	0277-1691
4297	International journal of obesity.	7703240	Int J Obes	0307-0565
4298	International journal of clinical pharmacology research.	8110183	Int J Clin Pharmacol Res	0251-1649
4299	The International journal of forensic dentistry.	7507151	Int J Forensic Dent	0306-9419
4300	International orthopaedics.	7705431	Int Orthop	0341-2695
4301	International journal of group psychotherapy.	374720	Int J Group Psychother	0020-7284
4302	International journal of immunopharmacology.	7904799	Int J Immunopharmacol	0192-0561
4303	International journal of health services	1305035	Int J Health Serv	0020-7314
4304	International journal of sports medicine.	8008349	Int J Sports Med	0172-4622
4305	International journal of rehabilitation research. Internationale Zeitschrift fur Rehabilitationsforschung. Revue internationale de recherches de readaptation.	7805421	Int J Rehabil Res	0342-5282
4306	International journal of cancer. Supplement = Journal international du cancer. Supplement.	8710267	Int J Cancer Suppl	0898-6924
4307	"Growth, development, and aging"	8809704	Growth Dev Aging	1041-1232
4308	International journal of law and psychiatry.	7806862	Int J Law Psychiatry	0160-2527
4309	International journal of Leprosy.	2985070R	Int J Lepr	0020-7349
4310	International journal of neurology.	374722	Int J Neurol	0020-7446
4311	International journal of pediatric otorhinolaryngology.	8003603	Int J Pediatr Otorhinolaryngol	0165-5876
4312	The International journal of neuroscience.	270707	Int J Neurosci	0020-7454
4313	International journal of nuclear medicine and biology.	360047	Int J Nucl Med Biol	0047-0740
4314	International journal of neuropharmacology.	9421557	Int J Neuropharmacol	0375-9458
4315	International journal of neuropsychiatry.	243214	Int J Neuropsychiatry	\N
4316	International journal of nursing studies.	400675	Int J Nurs Stud	0020-7489
4317	International journal of orthodontics.	55653	Int J Orthod	0020-7500
4318	International journal of oral surgery.	334641	Int J Oral Surg	0300-9785
4319	International journal for parasitology.	314024	Int J Parasitol	0020-7519
4320	The International journal of occupational health & safety.	7910014	Int J Occup Health Saf	0093-2205
4321	International journal of peptide and protein research.	330420	Int J Pept Protein Res	0367-8377
4322	The International journal of oral myology.	7600106	Int J Oral Myol	0360-4004
4323	International ophthalmology.	7904294	Int Ophthalmol	0165-5701
4324	International journal of psychiatry.	243036	Int J Psychiatry	0020-756X
4325	The International journal of pediatric nephrology.	8007162	Int J Pediatr Nephrol	0391-6510
4326	The International journal of orofacial myology	8207532	Int J Orofacial Myology	0735-0120
4327	International journal of psychiatry in medicine.	365646	Int J Psychiatry Med	0091-2174
4328	The International journal of psycho-analysis.	2985179R	Int J Psychoanal	0020-7578
4329	Giornale di stomatologia e di ortognatodonzia.	8702086	G Stomatol Ortognatodonzia	1122-1038
4330	International journal of psychoanalytic psychotherapy.	364543	Int J Psychoanal Psychother	0091-0600
4331	"International journal of radiation biology and related studies in physics, chemistry, and medicine."	374725	Int J Radiat Biol Relat Stud Phys Chem Med	0020-7616
4332	International rehabilitation medicine.	7911315	Int Rehabil Med	0379-0797
4333	"International journal of microcirculation, clinical and experimental / sponsored by the European Society for Microcirculation."	8400122	Int J Microcirc Clin Exp	0167-6865
4334	Gaceta sanitaria / S.E.S.P.A.S.	8901623	Gac Sanit	0213-9111
4335	The International journal of social psychiatry.	374726	Int J Soc Psychiatry	0020-7640
4336	International rescuer.	56013	Int Rescuer	0020-8515
4337	The International journal of periodontics & restorative dentistry.	8200894	Int J Periodontics Restorative Dent	0198-7569
4338	International journal of partial hospitalization.	8208732	Int J Partial Hosp	0272-4308
4339	International journal of psychosomatics	8409613	Int J Psychosom	0884-8297
4340	International journal for vitamin and nutrition research. Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Journal international de vitaminologie et de nutrition.	1273304	Int J Vitam Nutr Res	0300-9831
4341	International journal of tissue reactions.	8302116	Int J Tissue React	0250-0868
4342	International journal of technology assessment in health care.	8508113	Int J Technol Assess Health Care	0266-4623
4343	International journal of zoonoses.	7505008	Int J Zoonoses	0377-0168
4344	Infection control	8008357	Infect Control	0195-9417
4345	International nursing review.	7808754	Int Nurs Rev	0020-8132
4346	International ophthalmology clinics.	374731	Int Ophthalmol Clin	0020-8167
4347	International review of physiology.	7608349	Int Rev Physiol	0363-3918
4348	International psychiatry clinics.	401660	Int Psychiatry Clin	0020-8426
4349	International pharmacopsychiatry.	135645	Int Pharmacopsychiatry	0020-8272
4350	International review of connective tissue research.	374736	Int Rev Connect Tissue Res	0074-767X
4351	International review of cytology.	2985180R	Int Rev Cytol	0074-7696
4352	International review of cytology. Supplement.	177061	Int Rev Cytol Suppl	0074-770X
4353	International review of experimental pathology.	374737	Int Rev Exp Pathol	0074-7718
4354	International review of neurobiology.	374740	Int Rev Neurobiol	0074-7742
4356	International review of tropical medicine.	7511476	Int Rev Trop Med	0074-7777
4357	International surgery.	43524	Int Surg	0020-8868
4358	International urology and nephrology.	262521	Int Urol Nephrol	0301-1623
4359	AHA hospital technology series.	9880754	AHA Hosp Technol Ser	0735-4681
4360	International Symposium On Fluoridation And Preventive Dentistry.	9881598	Int Symp Fluorid Prev Dent	\N
4361	"Internationale Zeitschrift fur angewandte Physiologie, einschliesslich Arbeitsphysiologie."	410302	Int Z Angew Physiol	0020-9376
4362	"Internationale Zeitschrift fur klinische Pharmakologie, Therapie, und Toxikologie. International journal of clinical pharmacology, therapy, and toxicology."	340713	Int Z Klin Pharmakol Ther Toxikol	0020-9392
4363	Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Beiheft.	332153	Int Z Vitam Ernahrungsforsch Beih	0300-9831
4364	Internationale Zeitschrift fur Vitaminforschung. International journal of vitamin research. Journal international de vitaminologie.	1274010	Int Z Vitaminforsch	0020-9406
4365	Invasion & metastasis.	8202435	Invasion Metastasis	0251-1789
4366	Internistische Praxis.	165250	Internist Prax	0020-9570
4367	Der Internist.	264620	Internist (Berl)	0020-9554
4368	The Internist.	1251744	Internist	0020-9546
4369	Intervirology.	364265	Intervirology	0300-5526
4370	Investigative ophthalmology.	374730	Invest Ophthalmol	0020-9988
4371	Investigative ophthalmology & visual science.	7703701	Invest Ophthalmol Vis Sci	0146-0404
4372	Investigational new drugs.	8309330	Invest New Drugs	0167-6997
4373	Investigative radiology.	45377	Invest Radiol	0020-9996
4374	The Investor-owned hospital review.	7613884	Investor Owned Hosp Rev	0093-7312
4375	Investigative urology.	374747	Invest Urol	0021-0005
4376	Ion exchange and membranes.	364544	Ion Exch Membr	0091-0619
4377	Iowa Dental Bulletin.	9877968	Iowa Dent Bull	\N
4378	The Iowa dental journal / Iowa State Dental Society.	9301639	Iowa Dent J	0021-0498
4379	Iowa medicine	8403404	Iowa Med	0746-8709
4380	Iowa State University veterinarian.	17710170R	Iowa State Univ Vet	0099-5851
4381	Irish journal of medical science.	7806864	Ir J Med Sci	0021-1265
4382	Irish medical journal.	430275	Ir Med J	0332-3102
4383	Irish nursing and hospital world.	323465	Ir Nurs Hosp World	0790-7702
4384	The Irish nursing news.	17710360R	Ir Nurs News	0021-1354
4385	Irish nurses' journal.	323464	Ir Nurses J	0021-1346
4386	Iraqi Dental Journal.	9883855	Iraqi Dent J	\N
4387	Iryo.	413672	Iryo	0021-1699
4388	IRCS journal of medical science.	7505551	IRCS J Med Sci	0305-6481
4389	ISA transactions.	374750	ISA Trans	0019-0578
4390	Isis; an international review devoted to the history of science and its cultural influences.	2985182R	Isis	0021-1753
4391	Isozymes.	7706779	Isozymes Curr Top Biol Med Res	0160-3787
4392	Human genetics. Supplement.	7809212	Hum Genet Suppl	0172-7699
4393	The Israel annals of psychiatry and related disciplines.	374751	Isr Ann Psychiatr Relat Discip	0021-1958
4394	Israel journal of medical sciences.	13105	Isr J Med Sci	0021-2180
4395	"Refu'at ha-peh veha-shinayim (Tel Aviv, Israel"	227721	Refuat Hapeh Vehashinayim	0034-3161
4396	Israel journal of zoology.	404433	Isr J Zool	0021-2210
4397	Immunopharmacology.	7902474	Immunopharmacology	0162-3109
4398	Issues (National Council of State Boards of Nursing (U.S.))	8505238	Issues	0885-0046
4399	Issues in mental health nursing.	7907126	Issues Ment Health Nurs	0161-2840
4400	The Israel journal of psychiatry and related sciences.	8108287	Isr J Psychiatry Relat Sci	0333-7308
4401	Issledovaniia po genetike.	17710500R	Issled Genet	0578-9508
4402	Issues in law & medicine.	8511295	Issues Law Med	8756-8160
4403	Istanbul Universitesi Dishekimligi Fakultesi Dergisi	9425140	Istanbul Univ Dishekim Fak Derg	\N
4404	Italian general review of dermatology.	163320	Ital Gen Rev Dermatol	0021-292X
4405	The Italian journal of biochemistry.	376564	Ital J Biochem	0021-2938
4406	Italian journal of neurological sciences.	8006502	Ital J Neurol Sci	0392-0461
4407	The Italian journal of surgical sciences / sponsored by Societa italiana di chirurgia.	8213451	Ital J Surg Sci	0392-3525
4408	Italian journal of orthopaedics and traumatology.	7511480	Ital J Orthop Traumatol	0390-5489
4409	Italian journal of orthopaedics and traumatology. Supplementum.	7801241	Ital J Orthop Traumatol Suppl	\N
4410	Izvestiia Akademii nauk SSSR. Seriia biologicheskaia.	7505543	Izv Akad Nauk SSSR Biol	0002-3329
4411	Izvestiia na Instituta po fiziologiia.	7503809	Izv Inst Fiziol (Sofiia)	0068-3922
4412	Izvestiia na Mikrobiologicheskiia institut.	7600108	Izv Mikrobiol Inst (Sofiia)	0068-3957
4413	Intensive care medicine.	7704851	Intensive Care Med	0342-4642
4415	Journal of abnormal child psychology.	364547	J Abnorm Child Psychol	0091-0627
4416	Issues in health care of women.	7908143	Issues Health Care Women	0161-5246
4417	Journal of abnormal psychology.	34461	J Abnorm Psychol	0021-843X
4418	Journal - Academy of General Dentistry.	7610507	J Acad Gen Dent	0001-4265
4419	The Journal of the Acoustical Society of America.	7503051	J Acoust Soc Am	0001-4966
4420	Journal of advanced nursing.	7609811	J Adv Nurs	0309-2402
4421	Journal of agricultural and food chemistry.	374755	J Agric Food Chem	0021-8561
4422	Journal of professional nursing	8511298	J Prof Nurs	8755-7223
4423	Journal of the Air Pollution Control Association.	7505567	J Air Pollut Control Assoc	0002-2470
4424	Journal of affective disorders.	7906073	J Affect Disord	0165-0327
4425	Journal - Alabama Dental Association.	7505557	J Ala Dent Assoc	0002-4198
4426	The Journal of the All India Dental Association.	7503054	J All India Dent Assoc	0377-0516
4427	The Journal of ambulatory care management.	7802876	J Ambul Care Manage	0148-9917
4428	Journal of the All-India Ophthalmological Society.	7503055	J All India Ophthalmol Soc	0044-7307
4429	Journal of the American College of Cardiology.	8301365	J Am Coll Cardiol	0735-1097
4430	Journal of the American College of Nutrition.	8215879	J Am Coll Nutr	0731-5724
4431	The Journal of allergy and clinical immunology.	1275002	J Allergy Clin Immunol	0091-6749
4432	Journal of the American Academy of Child Psychiatry.	7505568	J Am Acad Child Psychiatry	0002-7138
4433	The Journal of the American Academy of Gold Foil Operators.	7605632	J Am Acad Gold Foil Oper	0002-7146
4434	The Journal of the American Association of Nurse Anesthetists.	431453	J Am Assoc Nurse Anesth	0002-7448
4435	Journal of the American Chemical Society.	7503056	J Am Chem Soc	0002-7863
4436	The Journal of the American College of Dentists.	7503057	J Am Coll Dent	0002-7979
4437	Journal of the American College Health Association.	7503059	J Am Coll Health Assoc	0002-7944
4438	Journal of American college health	8214119	J Am Coll Health	0744-8481
4439	The Journal of the American Dental Association.	7503060	J Am Dent Assoc	0002-8177
4440	The Journal of the American Dental Hygienists' Association.	7505571	J Am Dent Hyg Assoc	0002-8185
4441	Journal of the American Dental Society of Anesthesiology.	7505572	J Am Dent Soc Anesthesiol	\N
4442	Journal of the American Dietetic Association.	7503061	J Am Diet Assoc	0002-8223
4443	Journal of the American Geriatrics Society.	7503062	J Am Geriatr Soc	0002-8614
